gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
TGM1,1,534,0,"['failure to thrive', 'dehydration']",2,0,0,1464,85.30600655345648
GCG,1,437,0,"['exocrine pancreatic insufficiency', 'asthma']",2,0,0,1034,83.40623245988758
NLRC4,1,161,0,"['failure to thrive', 'dehydration', 'asthma']",3,0,0,342,83.21958904008119
CREB1,1,777,0,"['asthma', 'asthma']",2,1,0,3223,83.17557847026289
NFASC,1,602,0,"['failure to thrive', 'asthma']",2,0,0,1970,82.73124490329353
KHDRBS1,1,377,0,"['biliary cirrhosis', 'biliary cirrhosis', 'asthma']",3,4,0,1799,82.1179109955999
GABPA,2,855,0,"['asthma', 'asthma']",2,2,0,4111,81.88145758699083
TH,1,2035,12472,['asthma'],1,0,0,5625,81.8
SARS2,1,535,0,"['failure to thrive', 'asthma']",2,0,0,1627,81.0688432432978
SQSTM1,1,607,0,"['biliary cirrhosis', 'biliary cirrhosis']",2,4,0,2110,80.5926037084784
DNASE1,3,183,0,"['asthma', 'bronchiectasis']",2,0,0,252,80.5064327509654
HSD17B4,1,248,0,"['failure to thrive', 'failure to thrive', 'asthma']",3,13,0,842,80.02140449996656
SMS,1,672,0,"['asthma', 'asthma']",2,3,0,2617,79.98964396096001
TJP1,1,289,0,"['male infertility', 'asthma']",2,0,0,507,79.67433714816836
COX2,1,639,0,"['failure to thrive', 'asthma']",2,0,0,2404,79.4197865512132
AKR1B1,1,613,0,"['asthma', 'asthma']",2,1,0,2231,79.1388093351499
KNG1,1,373,0,"['asthma', 'asthma']",2,0,0,848,78.91364398852184
ITGAX,1,482,0,"['asthma', 'asthma']",2,0,0,1401,78.86735672744109
REG1A,1,587,0,"['dehydration', 'asthma']",2,3,0,2065,78.82528570109699
KCNMA1,1,319,0,"['dehydration', 'asthma']",2,1,1,653,78.03124987542478
HSPD1,1,334,0,"['asthma', 'bronchiectasis']",2,0,0,700,78.0118672291045
CASP1,1,417,0,"['asthma', 'asthma']",2,0,0,1081,77.92311018454386
ITGAL,1,244,0,"['asthma', 'asthma', 'biliary cirrhosis']",3,2,0,861,77.90667158435096
ANO1,4,242,0,"['asthma', 'asthma']",2,1,0,473,77.79824288629212
MAL,3,385,0,"['asthma', 'asthma']",2,4,0,1029,77.62322095537442
ABCA3,1,201,0,"['failure to thrive', 'chronic lung disease']",2,1,1,279,76.9908061354775
DLEU1,1,71,0,['asthma'],1,0,0,10,76.84334714209162
SERPINB6,1,303,0,"['asthma', 'bronchiectasis']",2,0,0,607,76.22566860016389
KCNJ1,1,193,0,"['hypercalciuria', 'failure to thrive', 'dehydration']",3,0,0,586,75.47267434892471
CBS,1,367,0,"['failure to thrive', 'failure to thrive']",2,83,0,927,74.2938275735877
BCS1L,1,467,0,"['failure to thrive', 'asthma']",2,0,0,1503,73.82273638375666
SRC,1,600,0,"['asthma', 'asthma']",2,0,0,2484,73.43537038231922
PTX3,1,212,0,"['asthma', 'asthma']",2,0,0,334,72.88379726792242
FOXJ1,1,65,0,"['asthma', 'bronchiectasis', 'asthma', 'bronchiectasis', 'male infertility']",5,0,0,239,72.77020057722947
BCL2A1,1,417,0,"['asthma', 'asthma']",2,0,0,1240,72.755910967049
LCN1,1,369,0,"['asthma', 'exocrine pancreatic insufficiency']",2,3,0,981,72.60323241976327
CLPS,1,237,0,"['exocrine pancreatic insufficiency', 'asthma']",2,0,0,419,72.40043776816186
LTA4H,1,151,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,6,0,723,71.85185311932113
HLA-E,1,500,0,"['asthma', 'exocrine pancreatic insufficiency']",2,3,0,1814,71.84603162456821
BRD4,1,236,0,"['asthma', 'asthma', 'bronchiectasis']",3,0,0,951,71.79386896839523
SORBS1,1,253,0,"['asthma', 'bronchiectasis']",2,0,0,486,71.57953359466399
CAP1,1,243,0,"['asthma', 'bronchiectasis']",2,0,0,456,71.08686309905057
SPINK1,3,160,0,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,0,0,261,70.56422850727972
MTPN,1,305,0,"['asthma', 'asthma']",2,1,0,720,70.43614129124337
LNPEP,1,299,0,"['bronchiectasis', 'asthma']",2,0,0,697,70.22525756858346
AQP5,2,230,0,"['chronic lung disease', 'asthma']",2,1,0,458,70.09039702739966
PAEP,1,394,0,"['asthma', 'asthma']",2,2,0,1217,69.48440234519322
CBL,1,280,0,"['exocrine pancreatic insufficiency', 'male infertility', 'male infertility']",3,1,0,1422,69.2134837232885
TERT,1,543,0,"['failure to thrive', 'asthma']",2,0,0,2313,68.99038448762967
MARS1,1,343,0,"['failure to thrive', 'male infertility']",2,1,0,947,68.82575216085084
TCIRG1,1,377,0,"['failure to thrive', 'asthma']",2,10,0,1151,68.44229338568564
GPI,1,1223,11738,['biliary cirrhosis'],1,1,0,2963,67.95454447458658
AIRE,1,312,0,"['asthma', 'asthma']",2,0,0,823,67.34528644469744
STIM1,1,288,0,"['asthma', 'asthma']",2,1,1,750,66.01882559795602
CXCL1,1,548,0,['asthma'],1,0,0,659,65.20978170291657
DAP,1,540,0,['bronchiectasis'],1,0,0,658,64.32369698579967
FPR2,2,258,0,"['asthma', 'asthma']",2,0,0,676,64.15384615384616
PCBD1,1,117,0,"['asthma', 'male infertility', 'bronchiectasis']",3,0,0,319,63.995714002254154
SMOX,3,560,0,['asthma'],1,0,0,767,63.91099580365952
TIMELESS,1,176,0,"['asthma', 'asthma', 'asthma']",3,12,1,704,63.84502721434145
TST,2,724,0,['bronchiectasis'],1,0,0,1231,63.61582501647213
SLC26A8,1,40,0,"['male infertility', 'male infertility', 'male infertility', 'male infertility']",4,3,1,95,63.61065782927956
NBL1,1,852,0,['asthma'],1,2,0,1658,63.50914374294937
NLRP1,1,267,0,"['failure to thrive', 'asthma']",2,0,0,696,62.99794742140687
CDT1,1,132,0,"['failure to thrive', 'failure to thrive', 'male infertility', 'male infertility']",4,5,0,732,62.9816522853296
ADH5,1,196,0,"['asthma', 'asthma']",2,1,0,387,62.82941097703313
DNAH11,1,68,0,"['bronchiectasis', 'asthma', 'male infertility', 'bronchiectasis']",4,7,0,223,62.67919602507499
SPDEF,1,88,0,"['asthma', 'asthma', 'asthma']",3,1,0,199,62.523322281735226
DEFB1,3,136,0,"['asthma', 'asthma']",2,1,0,254,62.49459819176059
CLCN5,1,99,0,"['hypercalciuria', 'hypercalciuria', 'hypercalciuria']",3,2,1,258,62.31953791710551
PCYT1A,1,449,0,"['failure to thrive', 'asthma']",2,0,0,1967,62.095732706326416
GPT,1,648,0,['asthma'],1,0,0,1018,61.86902319767288
HTT,1,330,0,"['male infertility', 'dehydration']",2,2,1,1109,61.85879379443504
TG,1,957,0,['asthma'],1,0,0,2220,61.57029601481018
SAA1,1,225,0,"['asthma', 'bronchiectasis']",2,0,0,526,61.47892154776958
HACD1,1,128,0,"['failure to thrive', 'bronchiectasis', 'asthma']",3,0,0,420,60.60339453010391
TF,2,1000,0,['male infertility'],1,2,0,2579,60.2553696972773
SERPINB1,2,173,0,"['bronchiectasis', 'asthma']",2,0,0,374,59.87875450142322
RPS3A,1,252,0,"['asthma', 'male infertility']",2,0,0,690,59.845017227472844
MMP12,2,259,0,"['asthma', 'bronchiectasis']",2,0,0,816,58.601721516572205
CDC42,1,466,0,"['failure to thrive', 'asthma']",2,4,0,2417,58.09247475080343
SON,1,222,0,"['failure to thrive', 'asthma']",2,0,0,588,57.40511247942565
TYMS,1,852,0,['asthma'],1,0,0,2036,57.31121738810716
CTSG,2,269,0,"['asthma', 'bronchiectasis']",2,0,0,923,57.0753052192641
FCGR2A,2,220,0,"['asthma', 'asthma']",2,1,0,638,57.010145937472494
H1-9P,1,150,0,"['asthma', 'male infertility', 'chronic lung disease']",3,5,0,654,56.308455864415805
VIM,2,886,0,['biliary cirrhosis'],1,1,0,2367,55.866353287625586
AQP2,2,167,0,"['failure to thrive', 'dehydration']",2,1,0,404,55.821586370780395
PSMB5,1,175,0,"['asthma', 'asthma', 'asthma']",3,20,0,915,55.04320210853158
ATP8B1,1,192,0,"['failure to thrive', 'failure to thrive']",2,4,0,491,54.696794307670736
SLC26A9,4,50,0,"['asthma', 'bronchiectasis']",2,0,0,99,54.27204202399745
NTM,1,421,0,['bronchiectasis'],1,0,0,570,54.15781034211623
CSH1,2,858,0,['male infertility'],1,1,0,2386,53.92380766127978
ETV5,1,143,0,"['male infertility', 'bronchiectasis']",2,0,0,292,53.721886563023936
ARSB,2,186,0,"['failure to thrive', 'asthma']",2,39,0,532,53.58739611659061
BBS9,1,973,0,['asthma'],1,0,0,3071,53.215097761465145
SDHA,1,267,0,"['failure to thrive', 'failure to thrive']",2,0,0,984,52.98262485556341
FER,1,197,0,"['male infertility', 'asthma']",2,1,0,567,52.15909727527335
HSPA9,2,699,0,['male infertility'],1,1,0,1802,50.81275609549218
SLC9A3,6,396,0,['male infertility'],1,0,0,725,50.80624452524139
CXCL2,1,470,0,['asthma'],1,0,0,804,50.78488434181907
HSP90AA1,1,313,0,"['asthma', 'male infertility']",2,0,0,1458,50.75455340516774
PRDM10,1,123,0,"['asthma', 'male infertility']",2,0,0,254,50.07097325002505
LIN9,1,623,0,['asthma'],1,0,0,1443,49.99099711047773
MMAA,1,43,0,"['failure to thrive', 'failure to thrive', 'dehydration', 'dehydration']",4,22,0,164,49.66325628057673
TRGC1,1,605,0,['dehydration'],1,1,0,1384,49.59390724512589
PFDN4,1,625,0,['dehydration'],1,1,0,1492,49.31858053572691
SDS,1,845,0,['asthma'],1,0,0,2720,49.181629909837625
ABCC4,1,353,0,['biliary cirrhosis'],1,1,0,497,48.84832600737034
GTF2E2,1,278,0,"['recurrent bronchopulmonary infections', 'asthma']",2,0,0,1288,48.14883756651048
NOVA2,1,443,0,['asthma'],1,0,0,817,47.545391569382666
SPG21,1,825,0,['asthma'],1,0,0,2784,47.47588997912882
SPACA9,1,787,0,['asthma'],1,0,0,2587,47.00903777763677
ARHGAP4,1,596,0,['dehydration'],1,1,0,1539,46.341978241853475
DDT,1,471,0,['asthma'],1,1,0,976,46.189304435792224
FST,2,506,0,['asthma'],1,1,0,1190,45.74393471297818
APEX1,2,647,0,['dehydration'],1,1,0,1914,45.73788960429357
ERVK-11,1,840,0,['male infertility'],1,1,0,3129,45.58662063395953
RPS6,1,620,0,['asthma'],1,0,0,1720,45.57194669510395
ERVK-10,5,811,0,['asthma'],1,4,0,3242,45.364685137436524
IFNE,1,569,0,['asthma'],1,0,0,1470,45.304480113641596
CAST,1,470,0,['bronchiectasis'],1,0,0,1017,45.15460168241267
HMGCR,0,490,0,['asthma'],1,0,0,1069,44.96022564018628
FRY,1,271,0,['asthma'],1,0,0,356,44.67891064226808
MAX,1,451,0,['asthma'],1,0,0,959,44.65939922928133
PIMREG,1,583,0,['asthma'],1,0,0,1605,44.405670261824326
CD55,1,647,0,['asthma'],1,0,0,1984,44.25025628684667
TXNRD2,1,537,0,['failure to thrive'],1,0,0,1376,44.23839520671061
