gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
TBL1X,1,132,0,['asthma'],1,0,0,446,20.17168463432212
CTRC,1,72,0,['exocrine pancreatic insufficiency'],1,0,0,150,20.08581589082206
P2RY4,1,141,0,['asthma'],1,0,0,514,19.98097344002276
PSMD5,1,149,0,['asthma'],1,0,0,586,19.704688376812857
ADSL,1,128,0,['asthma'],1,0,0,452,19.472921975540462
DEFB103B,1,70,0,['asthma'],1,0,0,152,19.466570535691506
BPIFA1,2,61,0,['asthma'],1,0,0,156,19.455570687318087
GATA5,1,108,0,['asthma'],1,0,0,339,19.226640809412324
NSF,1,141,0,['hypercalciuria'],1,1,0,569,18.99074790920943
MED25,1,132,0,['recurrent pneumonia'],1,0,0,508,18.900693650563223
GMCL1,1,94,0,['male infertility'],1,0,0,325,17.30664612222715
H4C6,1,154,0,['asthma'],1,0,0,925,16.176860350847157
CBSL,1,58,0,['asthma'],1,0,0,163,15.97851317975433
HCFC1,1,100,0,['failure to thrive'],1,0,0,479,15.078084858703477
KIDINS220,1,67,0,['asthma'],1,0,0,256,14.4375
HDAC7,1,101,0,['asthma'],1,3,0,532,14.437380992576596
ADORA2A,1,208,0,['asthma'],1,0,0,2058,14.416341553601159
NDUFAF3,1,66,0,['failure to thrive'],1,0,0,349,12.204560188645914
CA12,1,71,0,"['failure to thrive', 'dehydration']",2,0,0,2161,10.454635260335692
ADORA3,1,137,0,['asthma'],1,0,0,2002,9.856132945702216
