,gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
135,LMOD1,0,295,"['cryptorchidism', 'melanoma', 'melanoma', 'papilloma', 'blepharitis']",5,3456,6.5303288199027385,0.011226186467157628
138,TAT,0,301,"['hyperkeratosis', 'abnormally small cranium', 'extreme sensitivity of the eyes to light', 'ataxia', 'peripheral neuropathy', 'melanoma', 'melanoma', 'keratitis']",8,2691,5.486310758734853,0.010838555483174831
140,CA2,0,496,"['decreased body height', 'decreased body height', 'failure to thrive', 'optic atrophy', 'fatigue', 'fatigue', 'fatigue', 'fatigue', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'cataract', 'cataract', 'ataxia', 'melanoma', 'fever', 'photophobia']",19,16692,7.756293324385772,0.010373711397825431
144,STAT5A,0,298,"['melanoma', 'melanoma', 'melanoma', 'melanoma']",4,3320,5.547001962252291,0.009769404776255888
145,GABPA,0,399,"['peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'cataract', 'melanoma', 'melanoma', 'fever']",9,4113,4.608153490001425,0.00974755660978276
146,CXCR4,0,293,"['papilloma', 'pterygium', 'melanoma', 'melanoma', 'peripheral neuropathy']",5,3612,5.828108715873216,0.009690652357099226
148,CREB1,0,296,"['papilloma', 'pterygium', 'pterygium', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy']",6,3237,5.181415710625834,0.009151016983068187
149,BCR,0,320,"['fever', 'fatigue', 'melanoma', 'papilloma']",4,2704,4.355611520279375,0.0090405274852061
153,HSPA4,0,330,"['fever', 'fever', 'photophobia', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy']",7,2811,4.163819289917706,0.008726369618722798
155,ERVK-10,0,306,"['cataract', 'fever', 'fever', 'keratitis', 'melanoma', 'melanoma']",6,3242,4.48418324956146,0.008131218223254768
158,PSMD9,0,423,"['fever', 'cataract', 'melanoma', 'macule', 'pterygium']",5,3453,3.1709607026063846,0.007591366474688117
160,CCL2,0,291,"['peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'keratitis', 'keratitis', 'arthralgia', 'fatigue', 'melanoma']",8,3788,4.683588324191391,0.007478008376302559
165,PTH,0,295,"['cataract', 'cataract', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'fatigue', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'peripheral neuropathy', 'peripheral neuropathy']",13,4616,4.812238959409664,0.007068057100746191
167,IFI27,0,374,"['fever', 'cataract', 'melanoma', 'macule', 'pterygium']",5,3137,3.1709607026063846,0.007024153214997868
169,PIK3CB,0,313,"['melanoma', 'melanoma', 'melanoma']",3,4019,4.160251471689218,0.006906463126407951
173,ZNRD2,0,360,"['fever', 'cataract', 'melanoma', 'macule', 'pterygium']",5,3194,3.1709607026063846,0.006694919472525796
175,CRK,0,467,"['cataract', 'peripheral neuropathy', 'melanoma', 'melanoma']",4,6752,3.3227936335110497,0.006313533594585729
179,TMED7,0,349,"['fever', 'cataract', 'melanoma', 'macule']",4,2982,2.6531803295278875,0.0055336311189542395
182,DCTN6,0,329,"['fever', 'cataract', 'melanoma', 'macule']",4,2972,2.6531803295278875,0.005217834204859872
192,TH,0,289,"['fever', 'ataxia', 'abnormality of extrapyramidal motor function', 'short stature', 'peripheral neuropathy', 'melanoma']",6,5631,3.1929223411828467,0.004055144388209093
193,RELA,0,339,['papilloma'],1,4181,2.3145502494313788,0.003904345719169868
198,SOD1,0,337,"['involuntary muscle stiffness, contraction, or spasm', 'cerebral cortex atrophy', 'fatigue', 'cataract', 'peripheral neuropathy']",5,2736,1.5657978999400812,0.003080521321220222
200,TYMS,0,298,"['melanoma', 'alopecia']",2,2953,1.7048928720509615,0.002884276315930907
203,AHSA1,0,307,"['peripheral neuropathy', 'melanoma']",2,4016,1.6090276028002664,0.002385144205566441
205,SP1,0,325,['erythema'],1,3303,0.8932370012631206,0.0013490980379666988
